cp	char	in_corpus	type	partner_cp	partner_char	partner_in_corpus	partner_in_fold
U+340A	㐊	no	kSpoofingVariant	U+340B	㐋	no	no
U+340B	㐋	no	kSpoofingVariant	U+340A	㐊	no	no
U+3588	㖈	no	kZVariant	U+439B	䎛	yes	no
U+36AF	㚯	no	kSpoofingVariant	U+2EC3B	𮰻	no	no
U+3A41	㩁	yes	kZVariant	U+6409	搉	yes	no
U+3B3F	㬿	yes	kSpoofingVariant	U+2B736	𫜶	no	no
U+3BA3	㮣	yes	kZVariant	U+69E9	槩	yes	no
U+3DA5	㶥	no	kSpoofingVariant	U+2ECDA	𮳚	no	no
U+3EBB	㺻	no	kSpoofingVariant	U+2ED0B	𮴋	no	no
U+3EBF	㺿	yes	kSpoofingVariant	U+2ED10	𮴐	no	no
U+4011	䀑	yes	kSpoofingVariant	U+2ED45	𮵅	no	no
U+4039	䀹	yes	kSpoofingVariant	U+9FC3	鿃	no	no
U+4142	䅂	yes	kSpoofingVariant	U+2ED61	𮵡	no	no
U+439B	䎛	yes	kZVariant	U+3588	㖈	no	no
U+43D3	䏓	no	kSpoofingVariant	U+670A	朊	yes	no
U+44D5	䓕	no	kSpoofingVariant	U+2EDE3	𮷣	no	no
U+4C17	䰗	yes	kSpoofingVariant	U+29C18	𩰘	no	no
U+4DBE	䶾	no	kZVariant	U+238A7	𣢧	no	no
U+4E86	了	yes	kSpoofingVariant	U+20110	𠄐	no	no
U+4EEA	仪	yes	kSpoofingVariant	U+2EBF7	𮯷	no	no
U+5024	値	yes	kZVariant	U+503C	值	yes	no
U+503C	值	yes	kZVariant	U+5024	値	yes	no
U+51D1	凑	yes	kSpoofingVariant	U+6E4A	湊	yes	no
U+5433	吳	yes	kZVariant	U+5434	吴	yes	yes
U+5433	吳	yes	kZVariant	U+5449	呉	yes	yes
U+5473	味	yes	kSpoofingVariant	U+20C0C	𠰌	no	no
U+5553	啓	yes	kSpoofingVariant	U+555F	啟	yes	no
U+555F	啟	yes	kSpoofingVariant	U+5553	啓	yes	no
U+5794	垔	yes	kSpoofingVariant	U+212B9	𡊹	no	no
U+58B6	墶	yes	kSpoofingVariant	U+2143F	𡐿	no	no
U+58EF	壯	yes	kZVariant	U+2125F	𡉟	no	no
U+5929	天	yes	kSpoofingVariant	U+2BBDB	𫯛	no	no
U+5AB2	媲	yes	kZVariant	U+2180C	𡠌	no	no
U+5B63	季	yes	kSpoofingVariant	U+2EC5C	𮱜	no	no
U+5F84	径	yes	kSpoofingVariant	U+2EC7B	𮱻	no	no
U+5FD7	志	yes	kZVariant	U+225BD	𢖽	no	no
U+6046	恆	yes	kZVariant	U+6052	恒	yes	no
U+6052	恒	yes	kZVariant	U+6046	恆	yes	no
U+6085	悅	yes	kZVariant	U+60A6	悦	yes	no
U+60A6	悦	yes	kZVariant	U+6085	悅	yes	no
U+6329	挩	yes	kZVariant	U+635D	捝	yes	no
U+635D	捝	yes	kZVariant	U+6329	挩	yes	no
U+6409	搉	yes	kZVariant	U+3A41	㩁	yes	no
U+670A	朊	yes	kSpoofingVariant	U+43D3	䏓	no	no
U+68B2	梲	yes	kZVariant	U+68C1	棁	yes	no
U+68C1	棁	yes	kZVariant	U+68B2	梲	yes	no
U+69E9	槩	yes	kZVariant	U+3BA3	㮣	yes	no
U+69F1	槱	yes	kSpoofingVariant	U+2ACDD	𪳝	no	no
U+6B04	欄	yes	kSpoofingVariant	U+237EC	𣟬	no	no
U+6C4A	汊	yes	kSpoofingVariant	U+2ECC3	𮳃	no	no
U+6E2C	測	yes	kSpoofingVariant	U+205E7	𠗧	no	no
U+6E46	湆	yes	kSpoofingVariant	U+205E5	𠗥	no	no
U+6E4A	湊	yes	kSpoofingVariant	U+51D1	凑	yes	no
U+6E76	湶	yes	kSpoofingVariant	U+205EF	𠗯	no	no
U+6E8F	溏	yes	kSpoofingVariant	U+205F6	𠗶	no	no
U+6E93	溓	yes	kSpoofingVariant	U+205F3	𠗳	no	no
U+6EC2	滂	yes	kSpoofingVariant	U+205F5	𠗵	no	no
U+6EF2	滲	yes	kSpoofingVariant	U+205FF	𠗿	no	no
U+6F31	漱	yes	kSpoofingVariant	U+20602	𠘂	no	no
U+6F3A	漺	yes	kSpoofingVariant	U+205FE	𠗾	no	no
U+6F3B	漻	yes	kSpoofingVariant	U+205FD	𠗽	no	no
U+6F78	潸	yes	kSpoofingVariant	U+23F7D	𣽽	no	no
U+6F79	潹	yes	kSpoofingVariant	U+20606	𠘆	no	no
U+6F7A	潺	yes	kSpoofingVariant	U+20608	𠘈	no	no
U+6F8B	澋	yes	kSpoofingVariant	U+20609	𠘉	no	no
U+6FAE	澮	yes	kSpoofingVariant	U+2060E	𠘎	no	no
U+6FB6	澶	yes	kSpoofingVariant	U+20610	𠘐	no	no
U+6FC3	濃	yes	kSpoofingVariant	U+2060A	𠘊	no	no
U+6FCE	濎	yes	kSpoofingVariant	U+2060B	𠘋	no	no
U+6FEA	濪	no	kSpoofingVariant	U+291DD	𩇝	no	no
U+6FFC	濼	yes	kSpoofingVariant	U+20619	𠘙	no	no
U+701D	瀝	yes	kSpoofingVariant	U+2061F	𠘟	no	no
U+7024	瀤	yes	kSpoofingVariant	U+20620	𠘠	no	no
U+7042	灂	yes	kSpoofingVariant	U+20623	𠘣	no	no
U+70BC	炼	no	kSpoofingVariant	U+2ECE3	𮳣	no	no
U+7361	獡	yes	kSpoofingVariant	U+2486F	𤡯	no	no
U+7464	瑤	yes	kSpoofingVariant	U+7476	瑶	yes	no
U+7476	瑶	yes	kSpoofingVariant	U+7464	瑤	yes	no
U+7530	田	yes	kSpoofingVariant	U+2BB42	𫭂	no	no
U+768C	皌	no	kZVariant	U+24F5C	𤽜	no	no
U+76EE	目	yes	kSpoofingVariant	U+211A4	𡆤	no	no
U+7A05	稅	yes	kZVariant	U+7A0E	税	yes	no
U+7A0E	税	yes	kZVariant	U+7A05	稅	yes	no
U+7B93	箓	yes	kSpoofingVariant	U+25B7C	𥭼	no	no
U+7BF9	篹	yes	kSpoofingVariant	U+25CBB	𥲻	no	no
U+7C51	籑	yes	kZVariant	U+25D89	𥶉	no	no
U+812B	脫	yes	kZVariant	U+8131	脱	yes	no
U+8131	脱	yes	kZVariant	U+812B	脫	yes	no
U+82B2	芲	yes	kSpoofingVariant	U+30C28	𰰨	no	no
U+8412	萒	yes	kSpoofingVariant	U+26CC6	𦳆	no	no
U+8481	蒁	yes	kSpoofingVariant	U+26CEF	𦳯	no	no
U+8695	蚕	yes	kSpoofingVariant	U+27255	𧉕	no	no
U+86FB	蛻	yes	kZVariant	U+8715	蜕	yes	no
U+8715	蜕	yes	kZVariant	U+86FB	蛻	yes	no
U+8B39	謹	yes	kSpoofingVariant	U+27AF4	𧫴	no	no
U+8C5C	豜	yes	kZVariant	U+8C63	豣	yes	no
U+8C63	豣	yes	kZVariant	U+8C5C	豜	yes	no
U+8DCA	跊	yes	kSpoofingVariant	U+27FF4	𧿴	no	no
U+8DE5	跥	yes	kZVariant	U+8DFA	跺	yes	no
U+8DFA	跺	yes	kZVariant	U+8DE5	跥	yes	no
U+8E97	躗	yes	kZVariant	U+8E9B	躛	yes	no
U+8E9B	躛	yes	kZVariant	U+8E97	躗	yes	no
U+8FF3	迳	yes	kSpoofingVariant	U+2EDE0	𮷠	no	no
U+90A3	那	yes	kSpoofingVariant	U+2EDE9	𮷩	no	no
U+9109	鄉	yes	kZVariant	U+90F7	郷	yes	yes
U+9109	鄉	yes	kZVariant	U+9115	鄕	yes	yes
U+928A	銊	yes	kSpoofingVariant	U+2CACD	𬫍	no	no
U+9459	鑙	yes	kZVariant	U+28BBA	𨮺	no	no
U+9497	钗	no	kSpoofingVariant	U+2EDF6	𮷶	no	no
U+957A	镺	yes	kSpoofingVariant	U+2EE24	𮸤	no	no
U+9686	隆	yes	kZVariant	U+28E93	𨺓	no	no
U+96B7	隷	yes	kZVariant	U+96B8	隸	yes	no
U+96B8	隸	yes	kZVariant	U+96B7	隷	yes	no
U+9819	頙	yes	kSpoofingVariant	U+29460	𩑠	no	no
U+985E	類	yes	kSpoofingVariant	U+29516	𩔖	yes	no
U+9FC3	鿃	no	kSpoofingVariant	U+4039	䀹	yes	no
U+200C1	𠃁	no	kSpoofingVariant	U+24C6E	𤱮	no	no
U+20110	𠄐	no	kSpoofingVariant	U+4E86	了	yes	no
U+20120	𠄠	no	kSpoofingVariant	U+4E8C	二	yes	yes
U+20120	𠄠	no	kSpoofingVariant	U+2011E	𠄞	yes	yes
U+20120	𠄠	no	kSpoofingVariant	U+2011F	𠄟	yes	yes
U+201F9	𠇹	no	kSpoofingVariant	U+2EBFB	𮯻	no	no
U+20500	𠔀	no	kSpoofingVariant	U+2232C	𢌬	yes	no
U+20553	𠕓	yes	kSpoofingVariant	U+21D0A	𡴊	no	no
U+2055B	𠕛	no	kSpoofingVariant	U+20C6C	𠱬	no	no
U+205E5	𠗥	no	kSpoofingVariant	U+6E46	湆	yes	no
U+205E7	𠗧	no	kSpoofingVariant	U+6E2C	測	yes	no
U+205EF	𠗯	no	kSpoofingVariant	U+6E76	湶	yes	no
U+205F3	𠗳	no	kSpoofingVariant	U+6E93	溓	yes	no
U+205F5	𠗵	no	kSpoofingVariant	U+6EC2	滂	yes	no
U+205F6	𠗶	no	kSpoofingVariant	U+6E8F	溏	yes	no
U+205FD	𠗽	no	kSpoofingVariant	U+6F3B	漻	yes	no
U+205FE	𠗾	no	kSpoofingVariant	U+6F3A	漺	yes	no
U+205FF	𠗿	no	kSpoofingVariant	U+6EF2	滲	yes	no
U+20602	𠘂	no	kSpoofingVariant	U+6F31	漱	yes	no
U+20606	𠘆	no	kSpoofingVariant	U+6F79	潹	yes	no
U+20608	𠘈	no	kSpoofingVariant	U+6F7A	潺	yes	no
U+20609	𠘉	no	kSpoofingVariant	U+6F8B	澋	yes	no
U+2060A	𠘊	no	kSpoofingVariant	U+6FC3	濃	yes	no
U+2060B	𠘋	no	kSpoofingVariant	U+6FCE	濎	yes	no
U+2060E	𠘎	no	kSpoofingVariant	U+6FAE	澮	yes	no
U+20610	𠘐	no	kSpoofingVariant	U+6FB6	澶	yes	no
U+20619	𠘙	no	kSpoofingVariant	U+6FFC	濼	yes	no
U+2061F	𠘟	no	kSpoofingVariant	U+701D	瀝	yes	no
U+20620	𠘠	no	kSpoofingVariant	U+7024	瀤	yes	no
U+20623	𠘣	no	kSpoofingVariant	U+7042	灂	yes	no
U+20727	𠜧	no	kSpoofingVariant	U+20730	𠜰	no	no
U+20730	𠜰	no	kSpoofingVariant	U+20727	𠜧	no	no
U+20C0C	𠰌	no	kSpoofingVariant	U+5473	味	yes	no
U+20C6C	𠱬	no	kSpoofingVariant	U+2055B	𠕛	no	no
U+211A4	𡆤	no	kSpoofingVariant	U+76EE	目	yes	no
U+2125F	𡉟	no	kZVariant	U+58EF	壯	yes	no
U+212B9	𡊹	no	kSpoofingVariant	U+5794	垔	yes	no
U+2143F	𡐿	no	kSpoofingVariant	U+58B6	墶	yes	no
U+2180C	𡠌	no	kZVariant	U+5AB2	媲	yes	no
U+21D0A	𡴊	no	kSpoofingVariant	U+20553	𠕓	yes	no
U+21D0C	𡴌	no	kSpoofingVariant	U+24C12	𤰒	no	no
U+2232C	𢌬	yes	kSpoofingVariant	U+20500	𠔀	no	no
U+225BD	𢖽	no	kZVariant	U+5FD7	志	yes	no
U+22AEE	𢫮	no	kZVariant	U+22B0E	𢬎	yes	no
U+22B0E	𢬎	yes	kZVariant	U+22AEE	𢫮	no	no
U+237C3	𣟃	no	kZVariant	U+2C13A	𬄺	no	no
U+237EC	𣟬	no	kSpoofingVariant	U+6B04	欄	yes	no
U+238A7	𣢧	no	kZVariant	U+4DBE	䶾	no	no
U+23CEB	𣳫	yes	kSpoofingVariant	U+23D6D	𣵭	no	no
U+23D6D	𣵭	no	kSpoofingVariant	U+23CEB	𣳫	yes	no
U+23DBD	𣶽	no	kSpoofingVariant	U+2EDA4	𮶤	no	no
U+23F7D	𣽽	no	kSpoofingVariant	U+6F78	潸	yes	no
U+2486F	𤡯	no	kSpoofingVariant	U+7361	獡	yes	no
U+24C12	𤰒	no	kSpoofingVariant	U+21D0C	𡴌	no	no
U+24C6E	𤱮	no	kSpoofingVariant	U+200C1	𠃁	no	no
U+24F5C	𤽜	no	kZVariant	U+768C	皌	no	no
U+251D7	𥇗	no	kSpoofingVariant	U+251E4	𥇤	no	no
U+251E4	𥇤	no	kSpoofingVariant	U+251D7	𥇗	no	no
U+25235	𥈵	yes	kSpoofingVariant	U+2ED47	𮵇	no	no
U+25864	𥡤	yes	kSpoofingVariant	U+25871	𥡱	no	no
U+25871	𥡱	no	kSpoofingVariant	U+25864	𥡤	yes	no
U+25B7C	𥭼	no	kSpoofingVariant	U+7B93	箓	yes	no
U+25CBB	𥲻	no	kSpoofingVariant	U+7BF9	篹	yes	no
U+25D89	𥶉	no	kZVariant	U+7C51	籑	yes	no
U+26B60	𦭠	no	kSpoofingVariant	U+26B6B	𦭫	no	no
U+26B6B	𦭫	no	kSpoofingVariant	U+26B60	𦭠	no	no
U+26C25	𦰥	no	kZVariant	U+31F68	𱽨	no	no
U+26CC6	𦳆	no	kSpoofingVariant	U+8412	萒	yes	no
U+26CEF	𦳯	no	kSpoofingVariant	U+8481	蒁	yes	no
U+26EA4	𦺤	no	kSpoofingVariant	U+26F69	𦽩	no	no
U+26F69	𦽩	no	kSpoofingVariant	U+26EA4	𦺤	no	no
U+27144	𧅄	no	kSpoofingVariant	U+8637	蘷	yes	yes
U+27144	𧅄	no	kSpoofingVariant	U+8641	虁	yes	yes
U+27255	𧉕	no	kSpoofingVariant	U+8695	蚕	yes	no
U+277F1	𧟱	yes	kSpoofingVariant	U+277F5	𧟵	no	no
U+277F5	𧟵	no	kSpoofingVariant	U+277F1	𧟱	yes	no
U+27AF4	𧫴	no	kSpoofingVariant	U+8B39	謹	yes	no
U+27FF4	𧿴	no	kSpoofingVariant	U+8DCA	跊	yes	no
U+28BBA	𨮺	no	kZVariant	U+9459	鑙	yes	no
U+28E93	𨺓	no	kZVariant	U+9686	隆	yes	no
U+291DD	𩇝	no	kSpoofingVariant	U+6FEA	濪	no	no
U+29460	𩑠	no	kSpoofingVariant	U+9819	頙	yes	no
U+29475	𩑵	no	kSpoofingVariant	U+29477	𩑷	no	no
U+29477	𩑷	no	kSpoofingVariant	U+29475	𩑵	no	no
U+29516	𩔖	yes	kSpoofingVariant	U+985E	類	yes	no
U+29C18	𩰘	no	kSpoofingVariant	U+4C17	䰗	yes	no
U+29FE3	𩿣	yes	kZVariant	U+29FF2	𩿲	no	no
U+29FF2	𩿲	no	kZVariant	U+29FE3	𩿣	yes	no
U+2ACDD	𪳝	no	kSpoofingVariant	U+69F1	槱	yes	no
U+2B35D	𫍝	no	kSpoofingVariant	U+2EDC5	𮷅	no	no
U+2B4F0	𫓰	no	kSpoofingVariant	U+2EE04	𮸄	no	no
U+2B736	𫜶	no	kSpoofingVariant	U+3B3F	㬿	yes	no
U+2B738	𫜸	no	kSpoofingVariant	U+53F1	叱	yes	yes
U+2B738	𫜸	no	kSpoofingVariant	U+20B9F	𠮟	yes	yes
U+2B7F3	𫟳	no	kSpoofingVariant	U+2EDF5	𮷵	no	no
U+2BB42	𫭂	no	kSpoofingVariant	U+7530	田	yes	no
U+2BBDB	𫯛	no	kSpoofingVariant	U+5929	天	yes	no
U+2C13A	𬄺	no	kZVariant	U+237C3	𣟃	no	no
U+2C260	𬉠	no	kSpoofingVariant	U+2EDB9	𮶹	no	no
U+2CACD	𬫍	no	kSpoofingVariant	U+928A	銊	yes	no
U+2CECB	𬻋	no	kZVariant	U+31F4C	𱽌	no	no
U+2D954	𭥔	no	kSpoofingVariant	U+2EC9D	𮲝	no	no
U+2EBF7	𮯷	no	kSpoofingVariant	U+4EEA	仪	yes	no
U+2EBFB	𮯻	no	kSpoofingVariant	U+201F9	𠇹	no	no
U+2EC3B	𮰻	no	kSpoofingVariant	U+36AF	㚯	no	no
U+2EC5C	𮱜	no	kSpoofingVariant	U+5B63	季	yes	no
U+2EC7B	𮱻	no	kSpoofingVariant	U+5F84	径	yes	no
U+2EC9D	𮲝	no	kSpoofingVariant	U+2D954	𭥔	no	no
U+2ECC3	𮳃	no	kSpoofingVariant	U+6C4A	汊	yes	no
U+2ECDA	𮳚	no	kSpoofingVariant	U+3DA5	㶥	no	no
U+2ECE0	𮳠	no	kSpoofingVariant	U+2ECE1	𮳡	no	no
U+2ECE1	𮳡	no	kSpoofingVariant	U+2ECE0	𮳠	no	no
U+2ECE3	𮳣	no	kSpoofingVariant	U+70BC	炼	no	no
U+2ED06	𮴆	no	kSpoofingVariant	U+2ED07	𮴇	no	no
U+2ED07	𮴇	no	kSpoofingVariant	U+2ED06	𮴆	no	no
U+2ED0B	𮴋	no	kSpoofingVariant	U+3EBB	㺻	no	no
U+2ED10	𮴐	no	kSpoofingVariant	U+3EBF	㺿	yes	no
U+2ED45	𮵅	no	kSpoofingVariant	U+4011	䀑	yes	no
U+2ED47	𮵇	no	kSpoofingVariant	U+25235	𥈵	yes	no
U+2ED61	𮵡	no	kSpoofingVariant	U+4142	䅂	yes	no
U+2ED73	𮵳	no	kSpoofingVariant	U+2ED76	𮵶	no	no
U+2ED76	𮵶	no	kSpoofingVariant	U+2ED73	𮵳	no	no
U+2EDA4	𮶤	no	kSpoofingVariant	U+23DBD	𣶽	no	no
U+2EDB5	𮶵	no	kSpoofingVariant	U+32A8F	𲪏	no	no
U+2EDB9	𮶹	no	kSpoofingVariant	U+2C260	𬉠	no	no
U+2EDC5	𮷅	no	kSpoofingVariant	U+2B35D	𫍝	no	no
U+2EDE0	𮷠	no	kSpoofingVariant	U+8FF3	迳	yes	no
U+2EDE3	𮷣	no	kSpoofingVariant	U+44D5	䓕	no	no
U+2EDE9	𮷩	no	kSpoofingVariant	U+90A3	那	yes	no
U+2EDF5	𮷵	no	kSpoofingVariant	U+2B7F3	𫟳	no	no
U+2EDF6	𮷶	no	kSpoofingVariant	U+9497	钗	no	no
U+2EE04	𮸄	no	kSpoofingVariant	U+2B4F0	𫓰	no	no
U+2EE1B	𮸛	no	kSpoofingVariant	U+2EE1C	𮸜	no	no
U+2EE1C	𮸜	no	kSpoofingVariant	U+2EE1B	𮸛	no	no
U+2EE24	𮸤	no	kSpoofingVariant	U+957A	镺	yes	no
U+30C28	𰰨	no	kSpoofingVariant	U+82B2	芲	yes	no
U+31F4C	𱽌	no	kZVariant	U+2CECB	𬻋	no	no
U+31F68	𱽨	no	kZVariant	U+26C25	𦰥	no	no
U+32A8F	𲪏	no	kSpoofingVariant	U+2EDB5	𮶵	no	no
